ax,ay,az,gx,gy,gz
-4,-11,5245,979,-171,-390
2,-182,5263,843,-92,-572
243,-173,5160,775,-90,-745
399,-177,5183,696,-148,-937
655,-152,5275,425,-396,-985
640,52,5218,348,-622,-708
338,372,5376,683,-387,-186
302,-115,5676,910,-188,-1
113,-305,5904,897,34,96
-42,-345,6077,576,346,-276
-44,-685,6179,244,219,-755
41,-753,5956,-154,102,-1051
206,-541,5715,-534,133,-1133
302,-479,5228,-611,336,-1051
376,-388,5012,-636,620,-887
373,-306,4815,-613,729,-779
650,-431,4562,-388,774,-646
570,-407,4521,-223,624,-324
479,-319,4504,-105,520,-106
435,-402,4552,-2,513,-16
249,-271,4435,9,423,27
104,-188,4379,133,497,-103
-10,-155,4452,168,702,-397
-180,-91,4403,194,611,-543
-218,-42,4300,118,549,-504
-110,61,4128,78,776,-164
-5,-20,4022,158,693,-108
175,5,3955,75,510,-171
184,28,3925,-231,191,-245
188,94,3835,-352,-7,-249
33,167,3783,-335,105,-174
-59,169,3884,-192,246,-71
-319,-84,4196,-108,157,-48
-336,-259,4428,-126,-124,-179
-314,-190,4456,-291,-213,-324
-96,-144,4186,-199,-60,-381
81,-171,4142,-26,99,-231
101,-125,4062,-57,58,-107
166,-224,4056,-279,-227,-292
143,-4,3959,-491,-475,-340
240,-34,4095,-530,-469,-260
133,-251,4487,-496,-414,-16
-78,-317,4565,-561,-201,16
-109,-235,4611,-597,108,19
-70,-196,4284,-683,73,-125
-11,-151,4018,-701,-49,-245
110,4,3661,-716,-44,-250
194,15,3575,-659,105,-82
39,183,3213,-528,147,60
-53,-77,3196,-307,287,174
125,-277,3566,-222,425,165
-10,-385,3699,-434,217,32
77,-327,3498,-586,122,-5
73,-115,3223,-651,90,89
10,209,2622,-512,157,251
-81,235,2571,-221,298,414
-76,310,2552,57,238,517
-127,114,2871,401,161,528
-115,7,3210,434,51,530
-1,-75,3462,346,-82,524
-51,-10,3440,173,-397,375
-315,219,3346,75,-545,300
-513,330,3384,163,-470,270
-596,278,3680,399,-131,118
-402,99,3860,542,12,66
-144,117,3827,554,-41,-25
346,59,3669,593,-265,-277
665,-210,3593,540,-564,-391
705,-160,3447,512,-847,-383
546,-174,3617,730,-990,-128
335,-151,4001,861,-865,149
100,49,4158,954,-509,477
122,41,4258,1016,-278,623
213,148,4225,940,-305,570
133,230,4235,835,-340,477
76,197,4334,852,-345,333
158,189,4243,830,-435,225
217,214,4204,816,-565,171
331,120,4203,833,-741,95
323,-20,4409,619,-808,-20
269,-81,4598,359,-722,-108
308,-229,4728,118,-465,-109
480,-154,4595,-134,-239,3
411,70,4294,-224,-186,94
457,236,4003,-259,-216,151
613,123,3889,-163,-437,313
608,118,3988,-191,-607,440
510,121,4105,-300,-635,510
340,200,4218,-462,-503,476
256,221,4335,-504,-394,463
210,116,4471,-561,-123,488
281,108,4400,-745,-14,435
419,320,4147,-707,21,354
603,143,4138,-604,93,181
562,223,4275,-504,110,49
447,2,4292,-377,11,258
303,155,4300,-274,-25,53
232,107,4266,-222,-67,-90
518,-84,4259,-9,64,-484
406,22,4171,171,-47,-849
344,336,3937,-22,-136,-824
388,550,3815,128,4,-239
180,721,3664,255,115,138
186,673,3681,436,419,447
81,513,3857,558,545,805
222,613,3911,610,361,821
405,544,4181,719,501,952
478,470,4178,710,-289,730
789,685,4292,786,-537,468
879,677,4585,1014,-551,340
1628,-81,7339,-3208,5471,-392
-1713,-590,5372,-174,3153,-3265
-370,-1144,4229,-24,240,-4254
491,-328,4101,-67,14,-3437
840,15,4119,-61,30,-352
600,222,4252,148,54,883
565,74,4284,132,-221,1541
359,-435,5474,620,-1488,1677
-158,-644,5609,288,-1350,1133
-516,-298,5681,-20,-848,397
-284,-947,5542,-47,420,-181
63,-1041,5129,-110,649,-234
274,-651,4625,-23,565,-252
400,-608,4241,51,289,-579
655,-652,4093,-225,-31,-741
766,-476,3884,-456,-85,-502
647,-149,4065,-388,213,-14
513,-307,4287,-17,461,186
158,-445,4625,310,666,379
81,-595,4793,614,712,-163
17,-395,4816,677,656,-479
82,-335,4706,520,453,-536
173,-244,4606,382,324,-357
23,-21,4559,457,520,72
-131,-24,4576,725,814,260
-268,-55,4661,896,1002,265
-164,-189,4902,671,906,211
-124,-149,4819,319,519,145
-27,46,4659,141,200,46
64,369,4250,104,-47,-106
174,351,4126,208,-158,-146
182,257,4087,178,-161,-57
93,378,3898,-107,-29,214
-11,383,3982,-296,0,371
-49,162,4186,-457,97,510
31,197,4243,-695,-72,401
66,325,4090,-845,-77,268
54,432,3894,-847,-84,158
55,433,3735,-727,79,38
218,175,3839,-625,204,16
150,190,3775,-614,194,3
35,248,3563,-716,188,69
88,166,3526,-672,187,105
248,66,3642,-689,126,163
127,150,3578,-834,-71,254
-48,227,3501,-976,-49,344
-1,212,3481,-990,50,347
126,219,3387,-938,70,340
333,242,3158,-794,138,446
269,171,3095,-685,84,593
-40,282,3051,-657,25,629
3,178,3181,-594,-53,513
58,160,3129,-619,-263,315
-33,302,2846,-614,-365,131
21,176,2792,-342,-174,98
72,145,2904,-180,-59,227
158,179,3008,-99,-81,380
115,217,3131,-54,-236,523
32,285,3334,8,-305,421
79,126,3661,123,-413,171
-49,-12,3811,15,-532,-86
-123,-2,3701,-81,-387,-192
-202,-128,3632,-78,-148,-200
-312,-142,3541,-63,-43,-200
-194,-274,3525,-37,-20,-164
-126,-224,3494,-78,-222,-50
19,-94,3484,-54,-360,-22
247,67,3429,91,-270,139
357,106,3585,224,-179,338
257,-46,3857,275,-148,458
-48,8,4153,234,-195,335
-268,6,4236,104,-134,167
-243,-46,4282,-10,36,67
55,18,4346,-68,156,11
168,171,4225,-75,77,2
249,257,4125,17,28,14
377,269,4187,527,-88,92
291,317,4022,-349,-124,4
396,262,3846,-11,4,-127
452,400,3981,782,205,276
241,243,4419,656,207,516
32,284,4633,515,151,548
-92,275,4787,442,73,361
16,59,5002,322,-231,-113
123,43,4881,68,-649,-483
130,301,4619,-119,-1010,-704
214,494,4173,29,-542,-698
388,448,4132,379,-176,-403
418,358,4170,664,139,-132
473,367,4222,791,168,26
478,323,4215,803,203,124
509,272,4254,803,163,169
424,151,4332,598,-11,195
305,208,4270,424,-239,188
