ax,ay,az,gx,gy,gz
492,271,2369,-683,-141,-451
216,139,2487,-620,367,-953
-200,-47,2735,-643,469,-924
-694,-262,3058,-897,-71,-317
-598,-238,3445,-1047,-770,136
-391,-106,4080,-1094,-1249,495
-243,74,5362,-934,-2027,764
-167,10,5535,-925,-1700,447
-104,-91,5117,-1104,-1224,-170
-344,-420,4615,-1424,-733,-875
-222,-276,4417,-1519,-469,-937
-219,-204,4642,-1401,-96,-807
-64,-288,5264,-747,347,-617
-332,-572,5858,-538,68,-199
-305,-583,6141,-498,-267,256
-294,-441,6071,-338,-287,500
-156,-443,5913,-192,-38,565
-440,-666,5931,-198,207,472
-844,-858,6112,-428,352,274
-1177,-564,6251,-1213,621,-157
-1206,-233,6720,-1264,574,-351
-1318,-158,7229,-942,743,-304
-1670,-132,7617,-404,496,-20
-1526,46,7775,117,8,476
-1268,-90,7278,728,-421,913
-1136,-470,6046,1205,-900,1086
-927,-605,5214,1275,-825,1072
-601,-687,4469,1211,-381,1070
-182,-736,4178,660,-30,1268
-33,-347,4451,343,243,1442
81,-142,4753,298,607,1444
7,-209,4367,355,736,1323
-91,-128,4032,454,437,1230
-115,-165,3653,640,442,1203
-8,-153,3661,918,827,1274
410,-182,3123,937,1086,1247
368,-261,2853,813,961,1227
299,-105,2779,456,737,1186
557,60,2789,277,985,1013
627,98,2675,147,1159,767
566,158,2522,65,1090,653
326,138,2339,45,971,669
299,97,2346,-19,734,686
346,288,2618,-167,398,693
115,407,2876,-233,473,414
47,252,2625,-179,812,65
-114,31,2095,-214,1233,-288
-201,-35,1917,-645,1248,-507
-33,253,1890,-1094,1170,-361
173,450,2413,-1179,830,-10
436,685,3429,-816,508,530
563,582,3260,-461,624,545
415,186,3008,-313,548,388
256,47,3040,-572,191,190
416,-82,3154,-803,-85,185
479,-124,3479,-1080,-466,249
418,-60,4070,-1518,-1212,261
424,258,5110,-1613,-1348,136
227,161,5245,-1305,-1110,-56
-49,136,5643,-846,-876,13
-546,-149,6077,-1152,-1054,-100
-752,21,6598,-200,-929,196
-757,-110,6661,681,-444,234
-653,-235,6187,1180,-4,311
-626,-108,6083,1161,-4,499
-575,-30,5942,1104,80,632
-457,-86,5439,1035,96,708
-394,-83,5061,984,6,755
-149,-140,4783,870,-168,758
63,-40,4443,710,-129,825
219,-41,4004,593,-53,742
312,56,3947,495,-173,678
401,265,3968,283,-75,429
478,244,3760,187,77,191
566,188,3661,85,-119,25
493,260,3693,45,-398,-154
300,84,3670,156,-174,-393
296,120,3695,25,-35,-538
187,91,3881,-127,-133,-578
156,278,4134,-307,-66,-651
219,414,4185,-272,172,-698
355,453,4340,-82,279,-607
279,548,4513,353,756,-215
88,420,4428,414,1345,-345
70,315,4046,231,2118,-597
213,217,3892,70,1883,-597
195,372,4073,-19,1401,-495
464,495,4197,122,1049,-376
535,571,4252,400,480,-172
416,468,4242,573,226,-140
347,376,4228,609,-85,-156
151,410,4411,660,-503,-146
123,430,4382,795,-535,-15
107,452,4420,866,-408,163
36,409,4467,869,-161,189
287,405,4442,725,-134,87
416,442,4365,647,-128,-12
327,369,4439,581,-346,-193
110,253,4374,508,-308,-409
-82,30,4310,456,-324,-518
-204,54,4450,340,-486,-505
36,36,4439,294,-614,-560
106,10,4308,143,-948,-798
349,158,4051,44,-1087,-915
432,196,4138,71,-1540,-802
390,198,4172,105,-1743,-774
