324,-199,3502,-163,892,367
148,-34,3382,-93,744,410
-107,149,3396,66,612,237
-298,160,3435,200,757,-41
-333,103,3424,257,714,-274
-348,180,3342,239,490,-520
-207,-116,3283,260,484,-637
-114,-156,3219,212,295,-585
81,-164,3083,122,348,-494
93,-220,3095,104,91,-346
25,-215,3178,105,-105,-176
-76,-201,3216,126,-242,4
-253,-54,3283,219,-314,117
-350,28,3361,324,-247,243
-407,35,3470,371,-31,460
-380,89,3436,448,219,933
-373,263,3343,493,322,1103
-292,236,3330,549,271,1061
-241,252,3327,497,128,923
-165,242,3371,407,4,848
-160,212,3463,306,-57,825
-248,228,3543,221,-200,749
-275,213,3611,102,-297,569
-255,249,3631,65,-201,533
-273,310,3610,75,-229,486
-180,423,3545,163,-280,378
-148,353,3610,247,-355,362
-148,335,3723,284,-511,306
-157,268,3917,263,-740,54
-160,265,4007,196,-852,-106
-94,344,3969,156,-893,-197
9,542,3890,312,-681,-90
12,534,3951,501,-524,59
-54,416,4123,623,-467,198
-176,414,4212,566,-357,212
-135,572,4125,515,-333,69
96,517,4091,513,-444,4
167,494,4170,504,-284,204
128,436,4373,485,-371,235
57,534,4514,417,-399,230
46,483,4616,374,-438,243
52,497,4643,335,-563,164
9,508,4660,323,-410,167
-14,496,4666,346,-385,104
-48,491,4721,397,-538,-29
25,479,4784,402,-582,-113
99,412,4868,379,-645,-159
142,368,4931,267,-590,-140
188,442,4868,182,-435,-102
94,613,4765,221,-393,-13
35,860,4632,327,-348,-27
142,665,4705,454,-227,67
113,484,4888,474,-123,178
-71,357,5136,233,-32,37
-288,391,5264,-28,-161,-248
-167,405,5189,-275,-474,-581
-116,376,5137,-596,-300,-803
29,320,4988,-717,-209,-867
174,329,4834,-758,-164,-853
218,401,4726,-735,-168,-746
336,233,4709,-624,-232,-530
259,102,4836,-508,-162,-361
142,18,4954,-446,-108,-234
2,-17,5026,-448,-18,-105
-7,10,4993,-496,-70,-169
-1,-18,5001,-532,-160,-271
