,-46,4155,-44,69,132
53,14,3958,293,31,76
33,25,3976,194,-54,100
95,41,3915,127,-64,153
40,55,4020,78,-5,126
-74,96,4082,42,3,74
-126,207,4087,9,-7,17
-99,259,4134,-8,177,-78
1,263,4230,43,233,-121
59,299,4366,79,290,-190
291,162,4250,176,250,-82
218,161,4249,231,-3,164
166,132,4080,174,-189,302
77,74,3863,181,-349,277
90,85,3797,190,-300,253
37,155,3870,160,-206,237
92,169,3878,148,76,172
108,115,4013,120,202,171
238,104,4216,-8,174,126
233,268,4388,-174,-29,144
100,164,4407,-117,-50,47
-43,222,4295,-143,-172,21
-13,140,4157,39,-215,-16
265,3,3942,98,-339,11
301,237,4327,-52,-593,166
-37,455,4240,-289,-485,206
441,-60,4005,-637,-663,-146
360,333,4405,-679,-731,-192
308,252,4359,-501,-450,-339
169,111,4260,-211,-258,-575
130,10,4152,-70,-213,-594
-176,242,4254,-90,-297,-580
-16,206,4062,17,-150,-526
-28,320,4092,-32,-238,-209
76,387,4292,-10,-273,203
326,371,4309,388,59,490
426,100,4190,513,332,335
275,-120,4059,386,385,168
230,-206,4013,2,261,-13
122,-294,4074,-263,105,-39
3,-159,4133,-367,11,34
88,-31,4235,-241,-43,247
95,133,4323,-238,32,425
183,137,4271,107,241,435
263,4,4205,193,383,431
303,-1,4199,303,438,426
216,-21,4188,281,437,436
113,-20,4116,218,589,275
63,-160,4051,113,663,95
-9,-85,4113,-23,478,88
-29,59,4110,-80,282,183
86,36,3974,-175,169,368
241,143,4126,-40,37,623
233,224,4261,-211,-73,747
237,131,4208,46,180,576
126,79,4080,-39,245,319
95,75,4021,-85,267,149
117,36,4000,-186,81,47
94,208,4224,-201,-113,153
86,214,4161,-267,-151,200
91,225,4147,-158,-198,252
95,238,4172,-175,-194,260
117,218,4215,-131,-140,179
246,173,4172,-114,-85,151
290,192,4223,-83,-60,121
163,202,4276,-48,54,13
149,144,4248,30,157,-142
-55,64,4235,126,314,-219
-118,-112,4308,151,323,-252
-211,-109,4280,-52,220,-345
-365,-190,4308,-93,253,-370
-278,-289,4232,-78,210,-290
-236,-243,4264,-68,16,-79
-127,-73,4076,62,-157,124
-154,-71,3900,58,-188,175
-119,-11,3821,2,-198,196
25,143,3936,-29,-202,208
45,281,3886,-28,-106,31
53,283,3907,12,-3,-75
68,205,3973,-64,-105,-28
56,143,4097,18,-195,90
-62,75,4178,62,-199,177
-152,-37,4279,53,-186,119
-167,44,4372,49,-236,224
-48,44,4424,40,-164,328
34,82,4373,7,-135,198
104,261,4309,4,-76,180
53,268,4214,88,28,24
128,237,4149,47,64,21
107,268,4209,87,55,40
180,187,4187,101,41,111
181,120,4199,123,17,209
180,134,4220,46,-7,302
165,133,4133,-85,18,244
83,81,4089,35,-26,83
35,170,4085,-59,79,73
90,139,4198,-43,48,127
26,304,4282,-173,51,70
46,168,4305,-82,134,-72
-73,210,4386,-92,132,-103
-108,153,4333,-36,204,-129
-114,122,4311,21,149,26
-58,151,4350,13,7,224
42,208,4253,33,-36,349
53,126,4165,97,-19,287
-21,158,4066,19,-57,244
-63,184,3985,10,35,189
-62,172,3879,119,85,135
-35,152,4150,126,233,81
-9,108,4141,48,226,76
-17,137,4213,60,296,9
69,54,4204,103,338,-150
49,46,4183,95,289,-140
66,29,4087,116,245,-81
2,63,4173,59,53,58
81,95,4132,49,5,106
66,91,4112,79,-51,79
25,158,4092,122,-33,65
14,137,4071,93,-7,-1
51,124,4043,90,43,23
-37,50,4067,82,149,13
-102,41,4031,60,227,-62
-86,-7,4001,20,293,-109
89,14,4071,-19,246,-190
233,70,4155,-10,117,19
201,129,4247,-50,-88,151
156,212,4274,47,-70,106
129,87,4115,51,-11,33
60,83,4112,27,-34,1
-16,115,4122,8,80,-116
-28,27,4100,46,68,-199
-54,80,4165,57,4,-286
5,14,4125,76,22,-291
-38,95,4003,32,-15,-138
-158,41,4032,4,-25,-90
-139,-18,3996,-44,-54,-98
-18,118,4147,-89,-39,-74
108,40,4179,-72,-81,-27
113,180,4279,-23,-188,121
32,156,4209,49,11,64
77,110,4097,112,67,-27
56,163,4130,69,-26,-81
22,168,4198,24,-30,-58
-25,164,4220,4,-61,-27
-111,91,4267,-26,-70,-15
-193,178,4305,-37,-64,-11
-229,236,4264,14,62,-94
-176,179,4196,74,235,-185
-161,162,4156,117,274,-164
-76,106,4122,68,160,-18
-65,101,4128,-9,-10,161
-143,177,4244,-83,-99,401
6,215,4183,13,144,423
-153,231,4215,61,128,316
84,187,4183,85,134,107
-7,215,4231,165,104,121
-84,249,4157,231,166,146
-14,213,4056,220,297,117
-78,111,4066,47,270,81
-123,110,4118,23,219,82
-169,145,4172,-21,188,113
-139,103,4129,43,139,238
-170,190,4182,53,52,385
-120,175,4160,77,45,510
-103,234,4172,96,69,579
-14,147,4152,95,182,501
-16,126,4136,14,213,387
-99,136,4172,-77,370,101
-72,-12,4076,-199,303,-45
-115,51,4157,-228,69,-2
-185,107,4242,-174,-113,111
-341,79,4179,-130,-82,154
-333,141,4052,-104,139,130
-241,126,4085,-89,47,71
-301,100,4233,-30,144,237
-148,108,4110,-18,185,357
-133,55,4123,-7,109,452
-213,140,4184,-86,78,543
-180,121,4156,-78,189,519
-252,99,4140,-91,219,464
-299,155,4100,-141,256,378
-195,143,4079,-103,319,376
-23,124,4041,-94,282,447
43,181,4182,-68,175,551
68,129,4084,-48,212,482
49,152,4097,-78,233,339
124,219,4168,-150,290,122
106,194,4216,-148,292,-4
54,214,4215,-137,270,-103
16,144,4120,-73,262,-50
-114,127,4081,-89,195,28
-184,128,4066,-84,290,54
-122,63,3969,-121,329,77
-129,70,4088,-196,183,209
-63,153,4162,-224,71,368
-33,211,4185,-218,54,438
-66,103,4154,-141,121,303
-69,156,4179,-170,140,165
-87,165,4193,-168,241,62
-133,170,4196,-126,299,8
-44,43,4114,-82,317,28
-56,34,4121,-112,128,70
-202,98,4095,-162,-39,162
-258,42,4072,-129,-80,203
-265,111,4142,-137,-37,271
-285,125,4243,-157,88,289
-215,126,4271,-90,144,292
-206,174,4353,-44,93,323
-185,151,4299,91,78,352
-216,55,4204,86,-2,352
-222,67,4156,32,20,288
-218,14,4084,-30,79,198
-264,-58,4069,-163,86,99
-216,56,4120,-254,38,97
-162,22,4157,-205,36,149
-175,19,4093,-143,-35,236
-266,12,4078,-63,-47,244
-115,-115,4070,-63,-155,82
-82,-87,3975,-100,76,80
-321,-166,4010,-154,30,90
